127.0.0.1 - - [01/Feb/2021:20:07:58 +0800] "GET / HTTP/1.1" 404 700
0:0:0:0:0:0:0:1 - - [01/Feb/2021:20:07:59 +0800] "GET /crowdfunding-admin-webui/ HTTP/1.1" 200 1420
0:0:0:0:0:0:0:1 - - [01/Feb/2021:20:07:59 +0800] "GET /crowdfunding-admin-webui/jquery/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:20:08:09 +0800] "GET /crowdfunding-admin-webui/admin/to/login/page.html HTTP/1.1" 200 2099
0:0:0:0:0:0:0:1 - - [01/Feb/2021:20:08:09 +0800] "GET /crowdfunding-admin-webui/bootstrap/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:20:08:09 +0800] "GET /crowdfunding-admin-webui/css/login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:20:08:09 +0800] "GET /crowdfunding-admin-webui/jquery/jquery-2.1.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:20:08:09 +0800] "GET /crowdfunding-admin-webui/bootstrap/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:20:08:09 +0800] "GET /crowdfunding-admin-webui/layer/layer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:20:08:09 +0800] "GET /crowdfunding-admin-webui/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:20:08:09 +0800] "GET /crowdfunding-admin-webui/bootstrap/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:20:08:09 +0800] "GET /favicon.ico HTTP/1.1" 404 711
0:0:0:0:0:0:0:1 - - [01/Feb/2021:20:08:11 +0800] "POST /crowdfunding-admin-webui/admin/to/login.html HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:20:08:11 +0800] "GET /crowdfunding-admin-webui/admin/to/main/page.html HTTP/1.1" 200 7106
0:0:0:0:0:0:0:1 - - [01/Feb/2021:20:08:11 +0800] "GET /crowdfunding-admin-webui/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:20:08:11 +0800] "GET /crowdfunding-admin-webui/script/docs.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:20:08:11 +0800] "GET /crowdfunding-admin-webui/layer/theme/default/layer.css?v=3.1.1 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Feb/2021:20:08:17 +0800] "GET /crowdfunding-admin-webui/menu/to/page.html HTTP/1.1" 200 7198
0:0:0:0:0:0:0:1 - - [01/Feb/2021:20:08:17 +0800] "GET /crowdfunding-admin-webui/ztree/zTreeStyle.css HTTP/1.1" 200 6388
